Category,QuestionNo,Question,Choices,Answer,Advice
整数,10,"１〜６の数字がそれぞれ書かれたカードが6枚ある。X、Y、Zはそれぞれ一枚ずつカードを取った。取ったカードの数字について以下のことがわかっている。

Ⅰ　XとYの取ったカードの合計は６である。

Ⅱ　YとZの取ったカードの合計は４である。

Xが取ったカードの数字はいくつか。","A. 1
B. 2
C. 3
D. 4
E. 5","答え：E

YとZの合計が４であることから、同じ数字はないので、それぞれ１と３のいずれかしかありえない。

・Yが１のとき、ⅠよりXは５。

・Yが３のとき、Xも３になってしまうので成立しない。

よって、Xが取った数字は５。","非言語の推論の問題は情報を整理する力が求められます。このような重複のない整数の問題では、条件を利用して数値を絞り込んでいきましょう。数値が整数であること自体も条件になることがあります。
例えばこの問題では、YとZの取ったカードの合計は4であることを利用して、数字の組み合わせが1と3に絞り込めます。2つの数字の合計が小さい方が、考えられる数字の組み合わせの数が少なく済みます。このようにより細かく数字を限定できるような条件から考えていくと良いでしょう。後はXとYの取ったカードの合計は6で、かつ数字に重なりが無いことからXのカードが5だと分かります。
このように条件から数値を絞り込んでいくことが整数問題を解く定石となります。"
整数,11,"１〜７巻までが１冊ずつ揃った漫画がある。X、Yはここからそれぞれ１冊ずつ取った。取った漫画の巻数について以下のことがわかっている。

Ⅰ　XとYの取った巻数の合計は１０である。

Ⅱ　Xの取った巻数の数字は３の倍数である。

Ⅲ　Yが取った巻数の数字はXが取った巻数の数字の２倍以上である。

Yが取った巻数の数字はいくつか。","A. 4
B. 5
C. 6
D. 7","答え：D

XとYの合計が１０であることから、同じ数字はないので、それぞれ３と７、もしくは４と６のいずれかしかありえない。Xは３の倍数なので、Xが３、Yが７もしくはXが６、Yが４のみ成立する。

このうちⅢに当てはまるのはXが３、Yが７の場合。よって、７。","非言語の推論の問題は情報を整理する力が求められます。このような重複のない整数の問題では、条件を利用して数値を絞り込んでいきましょう。数値が整数であること自体も条件になることがあります。
例えばこの問題では、条件ⅡからXの数字が3か6に絞り込むことができます。このようにより細かく数字を限定できるような条件から考えていくと良いでしょう。後は条件Ⅰと条件Ⅲを用いて、Xの取った巻数の数字が3か6のどちらなのかを導きましょう。するとYが取った巻数の数字も導くことができます。
このように条件から数値を絞り込んでいくことが整数問題を解く定石となります。"
整数,12,"7枚のカードに１〜７の数字が書かれており、これらを上から順にに重ねた。カードの数字に関して以下のことがわかっている。

Ⅰ　上から１枚目から３枚目までのカードの数字の和は９

Ⅱ　下から１枚目から３枚目までのカードの数字の和は１４

真ん中のカードの数字はいくつか。","A. 4
B. 5
C. 6
D. 7","答え：B

１〜７の合計は1+2+3+4+5+6+7=28

よって真ん中の数字は28 – 9 -14 =5。","非言語の推論の問題は情報を整理する力が求められます。このような重なりのない整数の問題では、解き始める前に条件を見て解くための方針を考えましょう。
例えばこの問題では、「7枚のカードの数字の和から残り6枚のカードの数字の和を引けば、残り1枚のカードの数字となる」ということに気付けるかが重要となります。条件Iと条件Ⅱから、それぞれの3枚のカードの組み合わせを考えるのは大変です。もし自分の方針が想定以上に労力がかかりそうだと感じたら、一度自分の方法を疑ってみて、より良い方法を模索するのが良いでしょう。
このように整数問題では解くための方針が時間や難易度を左右するので、丁寧に模索しましょう。"
整数,13,"7枚のカードに１〜７の数字が書かれており、これらを１枚ずつ7人の人に配った。カードの数字について以下のことがわかっている。

Ⅰ　最初から１枚目から３枚目までのカードの数字の和は９

Ⅱ　最後から１枚目から３枚目までのカードの数字の和は１４

Ⅲ　最初から2番目の数字は４

３が配られた順番として可能性があるのは最初から何番目か。当てはまる組み合わせを選びなさい。","A. 1番目と3番目
B. 1番目と4番目
C. ４番目と5番目
D. 5番目と6番目と7番目","答え：A

１〜７の合計は1+2+3+4+5+6+7=28。よって真ん中の数字は28 – 9 -14 =5。

これをもとに、最初の３枚の組み合わせとして考えられるのは、

（１、２、６）（２、３、４）のどちらか。

Ⅲより、（２、３、４）の組み合わせが正しいので、３があり得るのは最初から1番目、3番目。","非言語の推論の問題は情報を整理する力が求められます。このような重複のない整数の問題では、解き始める前に条件を見て解くための方針を考えましょう。
例えばこの問題では、「7枚のカードの数字の和から残り6枚のカードの数字の和を引けば、残り1枚のカードの数字となる」ということに気付けるかが重要となります。その条件から真ん中の数字が5だと分かります。また、より数値を絞り込める条件から順に考えていくことも大切です。この問題では、真ん中の数字の条件、条件Ⅲ、条件Ⅰ、条件Ⅱの順で考えると良いです。
このように整数問題では、解くための方針や条件を用いる順番が時間や難易度を左右するので、丁寧に模索しましょう。"
整数,14,"7枚のカードに１枚ずつ順番に１〜７の数字の数字を書いた。書いたカードの数字に関して以下のことがわかっている。

Ⅰ　最初から１枚目から３枚目までのカードの数字の和は９

Ⅱ　最後から１枚目から３枚目までのカードの数字の和は１４

Ⅲ　最後から2番目の数字は６

４を書いたカードの順番として可能性があるのは最初から何番目か。当てはまる組み合わせを選びなさい。","A. 1番目と3番目
B. 1番目と4番目
C. ４番目と5番目
D. 1番目と2番目と3番目
E. 5番目と6番目と7番目","答え：D

１〜７の合計は1+2+3+4+5+6+7=28。よって真ん中の数字は28 – 9 -14 =5。

これをもとに、最初の３枚の組み合わせとして考えられるのは、

（１、２、６）（２、３、４）のどちらか。

Ⅲより、（２、３、４）の組み合わせが正しいので、４があり得るのは最初から1番目、2番目、3番目。","非言語の推論の問題は情報を整理する力が求められます。このような重複のない整数の問題では、解き始める前に条件を見て解くための方針を考えましょう。
例えばこの問題では、「7枚のカードの数字の和から残り6枚のカードの数字の和を引けば、残り1枚のカードの数字となる」ということに気付けるかが重要となります。その条件から真ん中の数字が5だと分かります。また、より数値を絞り込める条件から順に考えていくことも大切です。この問題では、真ん中の数字の条件、条件Ⅲ、条件Ⅰ、条件Ⅱの順で考えると良いです。
このように整数問題では、解くための方針や条件を用いる順番が時間や難易度を左右するので、丁寧に模索しましょう。"
整数,15,"7枚のカードに１〜７の数字が書かれており、これらを適当に縦に並べた。カードの数字について以下のことがわかっている。

Ⅰ　手前から１枚目から３枚目までのカードの数字の和は１０

Ⅱ　奥から１枚目から３枚目までのカードの数字の和は１４

真ん中の数字は何か。","A. 1
B. 2
C. 3
D. 4
E. 5","答え：D

１〜７の合計は1+2+3+4+5+6+7=28。よって真ん中の数字は28 – 10 – 14 = 4。","非言語の推論の問題は、情報を整理する力が求められます。このような重なりのない整数の問題では、解き始める前に条件を見て解くための方針を考えましょう。
例えばこの問題では、「7枚のカードの数字の和から残り6枚のカードの数字の和を引けば、残り1枚のカードの数字となる」ということに気付けるかが重要となります。条件Iと条件Ⅱから、それぞれの3枚のカードの組み合わせを考えるのは大変です。もし自分の方針が想定以上に労力がかかりそうだと感じたら、一度自分の方法を疑ってみて、より良い方法を模索するのが良いでしょう。
このように整数問題では解くための方針が時間や難易度を左右するので、丁寧に模索しましょう。"
整数,16,"赤、青、黄色のアメを合計12個買った。ただしどのアメも1個以上は買った。それぞれの買った数について、以下のことが分かっている。

Ⅰ　黄色いのアメは6個以下である。

Ⅱ　赤いアメは青いアメより2個だけ多い。

青いアメと黄色いアメの個数差が2個のとき、赤いアメと黄色いアメの差は何個か。","A. 2
B. 3
C. 4
D. 5
E. 6","答え：C

赤が青より2個多いから、青をx本とすると、赤と青の合計はx + (x + 2) = 2x + 2個となる。

よって、黄色は12 – (2x + 2) = 10-2x個となり、これが6個以下であるから1 ≦ 10-2x ≦ 6。つまり、2 ≦ x ≦ 4.5となるから、x = 2、3、4

これより3色の個数の組み合わせは赤：青：黄＝4：2：6、5：3：4、6：4：2のいずれかになるから、青と黄の差が2である場合、赤と黄の差は4個。","非言語の推論の問題は情報を整理する力が求められます。このような数値の差と合計から各数値を求める問題では、ある1つの数値を基準として設定することが定石です。
例えばこの問題では、青いアメの個数を基準として、x個とおきましょう。すると条件Ⅱよりの赤いアメの個数はx＋2個であることがわかります。次にxの数値を求める方法を考えましょう。合計から赤、青のアメの個数を引くことで、黄色いアメの個数がxで表せるので、これを条件Ⅰと合わせて考えることでxの範囲が求まります。あとはxが整数であること、青いアメと黄色いアメの個数差が2個であることを満たすxを探しましょう。
このように基準を設定することで単純な数値計算として問題を解くことが出来るでしょう。"
整数,17,"赤、白、ピンクのバラをそれぞれ一本ずつ購入し、合計12本買った。これについて、次のようなことが分かっている。

Ⅰ　ピンクのバラは3本か4本である。

Ⅱ　赤のバラは白のバラより2本だけ多い。

このとき白のバラは何本か。","A. 2
B. 3
C. 4
D. 5
E. 6","答え：B

赤のバラが白のバラより2本多いから、白のバラをx本とすると赤・白の合計は x + (x + 2)＝2x + 2本となる。

よって、ピンクのバラは12- (2x +2) = 10-2ｘ本となり、これが3本か4本であるから10 – 2x = 3 or 4。つまり、x = 3 or 3.5となるから、x = 3

よって、3本。","非言語の推論の問題は、情報を整理する力が求められます。このような数値の差と合計から各数値を求める問題では、ある1つの数値を基準として設定することが定石です。
例えばこの問題では、白いバラの本数を基準として、x本とおきましょう。すると条件Ⅱよりの赤いバラの本数はx＋2本であることがわかります。次にxの数値を求める方法を考えましょう。合計から赤、白のバラの本数を引くことで、ピンクのバラの本数がxで表せるので、これを条件Ⅰと合わせて考えることでxの値が求まります。
このように基準を設定することで単純な数値計算として問題を解くことが出来るでしょう。"
整数,18,"1個150円のチョコレートと1個100円のクッキーをそれぞれ何個か買った。これについて次のことが分かっている。

Ⅰ 　合計金額は1100円であった。

Ⅱ　 チョコレートを買った個数は3の倍数だった。

このとき、クッキーは何個買ったか。","A. 2
B. 3
C. 4
D. 5
E. 6","答え：A

1100円を超えない範囲で、チョコレートの個数としてあり得るのは3個か6個。

3個買った場合：残りのクッキー代は1100ー150×3＝550円となり、100の倍数ではないので正しくない。

6枚買った場合：残りのクッキー代は1100ー150×6＝200円となり、このときクッキーは2枚。

以上より、2枚。","非言語の推論の問題は、情報を整理する力が求められます。このような整数問題では、数値の範囲や候補を条件から絞っていくことが定石です。その際、出来るだけ狭く絞れる条件を探すことが大切です。
例えばこの問題では、条件Ⅰ、Ⅱよりチョコレートの個数が3個か6個の2つに絞ることができます。これらの場合について、それぞれクッキーの個数が整数になる方が正しい個数となります。もしクッキーの個数について最初に考えると0～11個の12通りの場合について考える必要があるので、先にチョコレートの個数で場合分けしましょう。
このように数値の候補や範囲をより狭く絞れるように条件を利用していきましょう。"
整数,19,"1個150円のパンと1個100円のおにぎりをそれぞれ何個か買った。これについて次のことが分かっている。

Ⅰ 　合計金額は1700円であった。

Ⅱ 　パンもおにぎりもそれぞれ4個以上は買っている。

Ⅲ 　パンの方がおにぎりよりも3個多く買っていた。

このとき、おにぎりは何個買ったか。","A. 2
B. 3
C. 4
D. 5
E. 6","答え：D

Ⅱより、残りは1700 – (150 + 100) × 4＝700円である。

パンの個数として考えられるのは1〜4個であるが、このうち奇数の場合残りのおにぎり代が100の倍数にならない。よってパンが2個か4個なので場合分けする。

2個のとき：残りのおにぎり代は700 – 150 × 2 = 400円となり、おにぎりは4個。これはⅢに反する。

4個のとき：残りのおにぎり代は700 – 150 × 4 = 100円となり、おにぎりは1個。これはⅢにも当てはまる。

よって、おにぎりは4 + 1 = 5個","非言語の推論の問題は、情報を整理する力が求められます。このような整数問題では、数値の範囲や候補を条件から絞っていくことが定石です。その際、出来るだけ狭く絞れるように工夫しましょう。
例えばこの問題は、一見1700円の内訳を考える必要があり、多くの組み合わせが感がられます。ゆえにおにぎりの個数をxと置くことで解くことも正しい方法です。しかし、条件Ⅰ、Ⅱより、1700円のうち1000円は内訳が確定しているので、残り700円の内訳を考えれば良いことになり、実際は2通りの整数の組み合わせが条件Ⅲを満たすかを考えれば解くことができます。
このように労力を減らすために、出来るだけ数値の範囲や候補を狭くできる方法を考えることが重要です。"
整数,20,"１〜１３と書かれたカードを1枚ずつ用意した。この中から、XとYの2人がそれぞれ２枚ずつ選んだ。選んだカードについて次のことが分かっている。

Ⅰ 　Xの選んだカードの数字の合計は7である。

Ⅱ 　Yが選んだカードの数字の合計は10以下であった。

Ⅲ 　Yが選んだカードの数字は2枚とも3の倍数であった。

Xが選んだカードのうち大きい方の数字はいくつか。","A. 2
B. 3
C. 4
D. 5
E. 6","答え：D

Ⅱ、Ⅲより、Yが選んだ数字は３と６しかない。

これより、Xは３と６は持っていない。３と６以外で合計が７になる数字の組み合わせは２と５しかないので大きい数字は５。","非言語の推論の問題は、情報を整理する力が求められます。このような整数問題では、数値の範囲や候補を条件から絞っていくことが定石です。その際、出来るだけ狭く絞れるように工夫しましょう。
例えばこの問題では、条件Ⅱ、ⅢからYの数字が3、6だとわかります。条件Ⅰから考えた場合、合計が7となる組み合わせは3通り考えられてしまうので、後回しにしましょう。一般的に倍数の条件は、数値の候補をかなり絞ることが出来る場合が多いので、最初に考えた方が良いです。3、6のカードを使わずに合計が7となるカードの組み合わせは2と5だけなので、大きい方の5が解答となります。
このように労力を減らすために、出来るだけ数値の範囲や候補を狭くできる方法を考えることが重要です。"
整数,21,"トランプのハートの１〜１３を１枚ずつ用意した。この中から、XとY

の2人がそれぞれ2枚ずつ選んだ。選んだトランプについて次のことが分かっている。

Ⅰ　 Xの選んだトランプの数字の合計は20であった。

Ⅱ 　Yが選んだトランプの数字の合計は18以上であった。

Ⅲ　 Yが選んだトランプの数字は連続していて、一方は4の倍数であった。

Xが選んだトランプのうち小さい方の数字として可能性のあるものの組み合わせはどれか。","A. ６と７
B. ７と９
C. ７と１０
D. ８と９
E. ９と１１","答え：B

Ⅱ、Ⅲを満たすようなYの数字の組み合わせは（１１、１２）か（１２、１３）である。これより、Xは１２を持っていないので、あり得る組み合わせは（７、１３）（９、１１）のどちらか。よって小さいものは７か９。","非言語の推論の問題は情報を整理する力が求められます。このような整数問題では、数値の範囲や候補を条件から絞っていくことが定石です。その際、出来るだけ狭く絞れるように工夫しましょう。
例えばこの問題では、条件Ⅱ、ⅢからYの数字が（11、12）、（12、13）だとわかります。条件Ⅰから考えた場合、合計が20となる組み合わせは3通り考えられてしまうので、後回しにしましょう。一般的に倍数の条件は、数値の候補をかなり絞ることが出来る場合が多いので、最初に考えた方が良いです。後はそれぞれのYの数字の場合について、Xの数字の合計が20となるカードの組み合わせが解答となります。
このように労力を減らすために、出来るだけ数値の範囲や候補を狭くできる方法を考えることが重要です。"
整数,22,"１〜１３と書かれたボールを用意した。この中から、XとYの2人がそれぞれ2枚ずつ選んだ。選んだボールについて次のことが分かっている。

Ⅰ　Xの選んだボールの数字の合計とYの選んだボールの数字の合計は、ともに18であった。

Ⅱ　Xが選んだボールには偶数が含まれていた。

Ⅲ　Xが選んだボールとYが選んだボールにはともに５の倍数が含まれていた。

Yが選んだボールのうち小さい方のボールはいくつか。","A. 4
B. 5
C. 6
D. 7
E. 8
F. 9","答え：B

Ⅰ、Ⅲより、あり得る数字の組み合わせは（５、１３）（８、１０）。

Ⅱより、Xが（８、１０）なので、Yは（５、１３）。よって小さい数字は５。","非言語の推論の問題は情報を整理する力が求められます。このような整数問題では、数値の範囲や候補を条件から絞っていくことが定石です。その際、出来るだけ狭く絞れるように工夫しましょう。
例えばこの問題では、最初にX、Yの区別なく合計18となる組み合わせを考えていきましょう。条件Ⅲからそれぞれの組み合わせに5、10が片方ずつ含まれていることがわかります。一般的に倍数の条件は、数値の候補をかなり絞ることが出来る場合が多いので、最初に考えた方が良いです。それぞれカードの片方がわかったので、2つの組み合わせが（5、13）、（8、10）だとわかります。後は条件ⅡからYの組み合わせが（8、10）だとわかるので、答えは8です。
このように労力を減らすために、出来るだけ数値の範囲や候補を狭くできる方法を考えることが重要です。"
整数,23,"星が1〜6個書いてあるカードを1枚ずつ用意し、これをX、Y、Zの3人にランダムに2枚ずつ配った。配ったカードについて以下ことが分かっている。

Ⅰ　XとYのカードの星の数の合計は等しい。

Ⅱ　Zが持つカードの星の数の合計は9もしくは10である。

Zが持つカードのうち少ない星の方の数はいくつか。","A. 1
B. 2
C. 3
D. 4
E. 5
F. 9","答え：C

1〜6のうち合計が9か10になる組み合わせは（３、６）（４、５）（４、６）である。

1〜6の合計が21であることを考えると、Zの合計が10のときは、XとYの合計が21 – 10 = 11になってしまい、Ⅰに反する

よって、Zは（３、６）（４、５）のどちらか。

（３、６）のとき：残りは１、２、４、５であり、（１、５）（２、４）とするとⅠを満たす。

（４、５）のとき：残りは１、２、３、６であり、このうちからⅠを満たす組み合わせは作れない。

以上より、Zの少ない方の星の数は３。","非言語の推論の問題は情報を整理する力が求められます。このような整数問題では、数値の範囲や候補を条件から絞っていくことが定石です。その際、出来るだけ狭く絞れるように工夫しましょう。
例えばこの問題では、「条件Ⅰから、XとYの2人の合計は必ず偶数となる」ということに気付けるかが重要となります。X、Y、Zの3人の合計は21なので、XとYの2人の合計は偶数となるとき、Zの合計が9であることがわかります。それと同時に、X、Yの合計がそれぞれ6だとわかります。これらを満たすカードの組み合わせを考えていきましょう。
このように労力を減らすために、出来るだけ数値の範囲や候補を狭くできる方法を考えることが重要です。"
整数,24,"おまんじゅうが40個おいてあった。これをP、Q、R、Sの4人がそれぞれいくつか食べた。

Ⅰ　ＰとＱは同じ数食べた。

Ⅱ　ＰはＲよりも5つ多く食べた。

おまんじゅうの残りが4つで、ＳがＰよりも1つ多く食べた場合、Ｓはいくつ食べたか。","A. 9
B. 10
C. 11
D. 12
E. 13","答え：C

Pの食べた数をxとすると、４人の合計はx + x + ( x – 5) + ( x + 1 )＝4x – 4個となる。よって、4x – 4 = 40 – 4 = 36となり、x = 10。したがって、Ｓの食べた数は10 + 1 = 11個。","非言語の推論の問題は情報を整理する力が求められます。このような数値の差と合計から各数値を求める問題では、ある1つの数値を基準として設定することが定石です。
例えばこの問題では、Pの食べた個数を基準として、x個とおきましょう。すると条件から、残りの3人が食べた個数は「Q：x個、R：x―5個、S：x+1個」とわかります。次にxの数値を求める方法を考えましょう。4人の食べたお饅頭合計はxであらわせます。これが36個と一致するので、一次方程式を解くようにxの値を求めましょう。
このように基準を設定することで単純な数値計算として問題を解くことが出来るでしょう。"
